ID,Age,AgeGroup,Strength,Sex
1,27,"(21,42]",26,F
2,58,"(42,62]",22,F
3,32,"(21,42]",29,F
4,51,"(42,62]",18,F
5,38,"(21,42]",28,F
6,82,"(62,82]",10,F
7,29,"(21,42]",27,F
8,64,"(62,82]",17,M
9,33,"(21,42]",24,F
10,30,"(21,42]",22,F
11,64,"(62,82]",16,F
12,75,"(62,82]",9,F
13,33,"(21,42]",24,F
14,55,"(42,62]",23,F
15,50,"(42,62]",20,F
16,59,"(42,62]",16,M
17,30,"(21,42]",26,F
18,64,"(62,82]",22,F
19,47,"(42,62]",20,F
20,67,"(62,82]",18,F
21,25,"(21,42]",25,M
22,69,"(62,82]",20,M
23,43,"(42,62]",23,F
24,48,"(42,62]",21,F
25,51,"(42,62]",22,M
26,42,"(21,42]",22,M
27,59,"(42,62]",16,F
28,81,"(62,82]",12,F
29,63,"(62,82]",16,F
30,25,"(21,42]",35,F
31,65,"(62,82]",18,F
32,66,"(62,82]",20,M
33,75,"(62,82]",13,F
34,40,"(21,42]",21,M
35,75,"(62,82]",12,M
36,55,"(42,62]",16,F
37,33,"(21,42]",30,M
38,66,"(62,82]",12,F
39,38,"(21,42]",23,F
40,36,"(21,42]",25,M
41,74,"(62,82]",13,M
42,66,"(62,82]",16,M
43,81,"(62,82]",9,M
44,47,"(42,62]",22,M
45,69,"(62,82]",11,M
46,38,"(21,42]",27,M
47,56,"(42,62]",18,M
48,31,"(21,42]",19,M
49,66,"(62,82]",11,F
50,61,"(42,62]",18,F
51,67,"(62,82]",16,M
52,60,"(42,62]",18,F
53,78,"(62,82]",15,M
54,78,"(62,82]",16,F
55,65,"(62,82]",18,M
56,29,"(21,42]",24,F
57,22,"(21,42]",28,F
58,32,"(21,42]",23,F
59,72,"(62,82]",14,M
60,45,"(42,62]",20,M
