,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
State/Higher Education Institution,Attrition rate (normal calculation)(j),,,,,,,,,,,,,,,Attrition rate (adjusted  calculation)(k),,,,,,,,,
,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Australia,,,,,,,,,,,,,,,,,,,,,,,,,
National Total,19.17,19.81,19,18.76,18.86,18.5,18.92,17.8,18.06,19,18.94,19.45,20.84,21.01,,15.04,14.62,14.76,12.77,12.48,13.09,12.79,13.43,14.79,15.18
Table A Providers,19.16,19.8,18.99,18.78,18.86,18.52,18.97,17.85,18.11,19.05,18.98,19.5,20.89,21.09,,15.04,14.63,14.79,12.81,12.54,13.14,12.82,13.47,14.84,15.25
Table B Providers,28.11,21.4,20.14,17.12,18.57,17.03,15.82,15.1,15.31,16.17,16.95,16.69,17.38,15.28,,15.41,13.75,12.74,10.7,9.7,10.33,11.59,10.61,10.94,10.04
New South Wales,,,,,,,,,,,,,,,,,,,,,,,,,
Charles Sturt University,22.56,22.46,21.67,22.5,22.52,23.97,24.78,22.21,23.83,24.99,25.3,24.21,26.11,27.7,,19.88,21.18,22.24,19.26,19.53,20.85,20.46,20.34,21.79,23.21
Macquarie University,16.01,15.58,13.01,12.32,14.79,13.27,13.85,14.18,14.58,15.55,15.47,16.61,15.98,16.71,,10.91,9.52,9.19,8.97,8.61,9.63,9.01,10.16,9.49,9.77
Southern Cross University,32.49,32.27,28.18,30.71,31.29,28.82,28.91,27.29,30.33,28.47,29.12,30.8,29.62,30.53,,26.68,24.78,24.92,22.39,23.38,20.94,22.25,24.12,23.49,24.54
The University of New England,27.51,27.85,26.46,26.31,25.4,24.86,24.47,23.36,25.43,25.32,27.07,27.15,28.19,28.89,,24.67,24.16,22.22,19.6,20.49,20.24,20.52,21.62,22.04,22.89
The University of New South Wales(d),11.56,11.95,10.72,11.57,11.67,11.82,11.31,11.25,10.09,11.11,11.15,10.32,11.45,9.84,,8.14,7.11,6.42,5.81,5.24,5.64,5.23,4.85,5.38,4.8
The University of Newcastle,14.68,17.36,15.4,14.96,15.8,15.73,17.5,15.88,18.12,18.03,18.9,17.95,18.93,18.92,,12.75,12.55,14.27,11.79,13.64,13.33,13.75,13.72,14.51,14.6
The University of Wollongong,14.55,15.22,14.55,13.6,13.21,13.73,13.2,11.19,12.86,14.44,14.48,14.08,15.62,16.05,,10.41,10.44,9.97,8,8.42,9.37,9.75,9.57,10.56,10.69
