,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
State/Higher Education Institution,Retention rate (normal calculation)(j),,,,,,,,,,,,,,,Retention rate (adjusted calculation)(k),,,,,,,,,
,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Australia,,,,,,,,,,,,,,,,,,,,,,,,,
National Total,80.38,79.76,80.55,80.75,80.70,81.11,80.75,81.91,81.59,80.64,80.64,80.12,78.70,78.49,,84.60,85.05,84.97,87.00,87.23,86.62,86.89,86.23,84.83,84.41
Table A Providers,80.40,79.77,80.55,80.73,80.69,81.09,80.70,81.87,81.53,80.58,80.60,80.07,78.64,78.41,,84.60,85.04,84.93,86.96,87.18,86.57,86.86,86.18,84.77,84.33
Table B Providers,71.76,77.95,79.86,82.73,81.36,82.77,84.08,84.77,84.48,83.54,82.94,83.12,82.48,84.46,,84.54,86.05,87.15,89.16,90.14,89.47,88.29,89.24,88.93,89.75
New South Wales,,,,,,,,,,,,,,,,,,,,,,,,,
Charles Sturt University,76.64,76.79,77.60,76.62,76.94,75.58,74.78,77.36,75.78,74.38,74.16,75.30,73.26,71.69,,79.63,78.39,77.34,80.34,80.05,78.53,79.04,79.17,77.61,76.18
Macquarie University,83.64,84.26,86.76,87.54,85.03,86.59,86.04,85.70,85.33,84.37,84.31,83.30,83.87,83.18,,88.95,90.25,90.59,90.83,91.20,90.15,90.73,89.62,90.26,90.02
Southern Cross University,66.99,67.30,70.56,68.13,67.31,69.76,69.91,71.89,68.64,70.77,69.88,68.30,69.40,68.51,,72.14,74.00,74.01,76.89,75.73,78.42,76.85,75.07,75.57,74.61
The University of New England,71.76,71.48,72.84,72.88,73.56,74.14,74.33,75.64,73.99,74.28,72.40,72.41,71.13,69.73,,74.32,74.86,76.61,79.38,78.85,79.35,78.95,77.91,77.24,75.80
The University of New South Wales(d),88.26,87.95,89.15,88.30,88.18,88.07,88.62,88.70,89.74,88.67,88.70,89.47,88.34,89.80,,91.76,92.81,93.53,94.16,94.66,94.24,94.70,95.04,94.52,95.02
The University of Newcastle,85.04,82.38,84.36,84.83,83.91,83.96,82.27,83.92,81.64,81.76,80.85,81.86,80.86,80.93,,87.01,87.20,85.53,88.06,86.16,86.50,86.05,86.13,85.32,85.26
The University of Wollongong,85.20,84.60,85.27,86.21,86.54,85.99,86.56,88.61,86.91,85.35,85.33,85.76,84.17,83.63,,89.39,89.33,89.83,91.83,91.39,90.43,90.11,90.31,89.27,89.06
